listing_id,borough,neighborhood,address,unit,zip,rent,net_effective_rent,gross_over_3000,no_fee,beds,baths,sqft,building_type,status,available_date,price_changed_at,latitude,longitude,bbl,bin,nearest_station,nearest_lines,nearest_dist_mi,nearest_walk_min,all_nearby_lines,hpd_total,hpd_open,hpd_open_class_c,hpd_rent_impairing_open,ecb_total,ecb_active,ecb_penalty_total,ecb_balance_due,dob_total,dob_open,source_url
5088783,manhattan,Inwood,121 Seaman Avenue,1E,10034,1795,0,false,false,0,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T12:12:45.000Z,40.868512,-73.923256,1022400006,1064971,Inwood-207 St,A,0.106,2,A|1,221,63,19,2,23,4,28605,4375,25,1,https://streeteasy.com/building/121-seaman-avenue-new_york/1e
5088780,manhattan,Inwood,121 Seaman Avenue,4C,10034,2395,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-01,2026-07-01T11:38:46.000Z,40.868512,-73.923256,1022400006,1064971,Inwood-207 St,A,0.106,2,A|1,221,63,19,2,23,4,28605,4375,25,1,https://streeteasy.com/building/121-seaman-avenue-new_york/4c
5088486,manhattan,Inwood,518 West 204th Street,43,10034,2395,0,false,false,1,1,,RENTAL,ACTIVE,2026-06-30,2026-07-01T00:58:07.000Z,40.863754,-73.921317,1022180017,1064727,207 St,1,0.115,2,1|A,270,1,0,0,8,0,8465,0,5,0,https://streeteasy.com/building/520-west-204-street-new_york/43
5087988,manhattan,Inwood,109 Seaman Avenue,11B,10034,2300,0,false,false,1,1,,CO_OP,ACTIVE,2026-06-30,2026-06-30T23:26:32.000Z,40.868388,-73.923749,1022400001,1064970,Inwood-207 St,A,0.126,3,A|1,31,2,0,0,8,0,5150,0,7,3,https://streeteasy.com/building/109-seaman-avenue-new_york/11b
5088025,manhattan,Fort George,86 Thayer Street,20,10040,2500,0,false,false,1,1,,CO_OP,ACTIVE,2026-06-30,2026-06-30T20:28:16.000Z,40.864105,-73.927698,1021750175,1064249,Dyckman St,A,0.08,2,A|1,469,78,24,1,29,0,29275,2500,8,3,https://streeteasy.com/building/86-thayer-street-new_york/20
5088271,manhattan,Inwood,530 Isham Street,4B,10034,2300,0,false,false,1,1,,RENTAL,ACTIVE,2026-06-30,2026-06-30T20:45:30.000Z,40.866516,-73.918965,1022270019,1064853,Inwood-207 St,A,0.107,2,A|1,149,16,6,0,3,0,180,0,3,0,https://streeteasy.com/building/530-isham-street-new_york/4b
5087571,manhattan,Turtle Bay,155 East 52nd Street,7E,10022,2615,0,false,false,0,1,,RENTAL,ACTIVE,2026-07-01,2026-06-30T15:48:02.000Z,40.757521,-73.970346,1013070029,1036468,Lexington Av/51-53 Sts,6|E|F,0.039,1,6|E|F|M,47,9,2,0,60,1,50600,11250,59,7,https://streeteasy.com/building/155-east-52-street-new_york/7e
5087930,manhattan,Upper West Side,340 Amsterdam Avenue,3O1,10024,2700,0,false,false,0,1,,RENTAL,ACTIVE,2026-07-01,2026-06-30T19:27:33.000Z,40.781429,-73.979961,1011680029,1077359,79 St,1,0.152,3,1|2|3|C|B,41,31,9,0,40,1,74830,0,24,6,https://streeteasy.com/building/340-amsterdam-avenue-new_york/3o1
5087914,manhattan,Central Harlem,11 East 128th Street,3,10035,2450,0,false,false,0,1,,TWOFAMILY,ACTIVE,2026-06-30,2026-06-30T19:26:03.000Z,40.808182,-73.939991,1017530008,1087884,125 St,2|3,0.275,5,2|3|4|5|6,0,0,0,0,3,2,800,0,1,0,https://streeteasy.com/building/11-east-128-street-new_york/3
5087918,manhattan,Inwood,13 Cummings Street,5G,10034,2024,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-03,2026-06-30T19:16:13.000Z,40.866646,-73.926117,1022370064,1064948,Dyckman St,A,0.079,2,A|1,283,56,30,3,0,0,0,0,6,6,https://streeteasy.com/building/13-cumming-street-new_york/5g
5087902,manhattan,Lincoln Square,248 West 64th Street,5H,10023,2665,1999,false,false,0,1,,RENTAL,ACTIVE,2026-06-30,2026-06-30T19:09:05.000Z,40.774276,-73.98772,1011540206,1030336,66 St-Lincoln Center,1,0.278,6,1|2|3|A|C|B|D,20,5,0,1,34,3,33930,0,37,0,https://streeteasy.com/building/244-west-64-street-new_york/5h
5087773,manhattan,Manhattan Valley,214 West 102nd Street,1E,10025,2650,0,false,false,0,1,,RENTAL,ACTIVE,2026-07-03,2026-06-30T18:17:02.000Z,40.798068,-73.968532,1018730041,1056516,103 St,1,0.074,1,1|2|3|C|B,88,76,5,9,4,0,2499,0,2,0,https://streeteasy.com/building/214-west-102-street-new_york/1e
5087860,manhattan,Hamilton Heights,1887 Amsterdam Avenue,2C,10032,2395,0,false,false,1,1,,RENTAL,ACTIVE,2026-06-30,2026-06-30T18:50:48.000Z,40.830439,-73.94343,1020680004,1061653,155 St,C,0.098,2,C|1|A|B|D,268,30,13,0,1,0,1000,0,5,0,https://streeteasy.com/building/1887-amsterdam-avenue-new_york/2c
5087831,manhattan,Lenox Hill,440 East 77th Street,1A,10075,2700,0,false,false,0,1,,RENTAL,ACTIVE,2026-08-01,2026-06-30T18:39:17.000Z,40.770111,-73.951941,1014710128,1045977,72 St,Q,0.343,7,Q|6,15,5,1,1,0,0,0,0,8,3,https://streeteasy.com/building/440-east-77-street-new_york/1a
5087797,manhattan,Upper West Side,320 West 106th Street,2E,10025,2895,0,false,false,0,1,,RENTAL,ACTIVE,2026-06-30,2026-06-30T18:19:53.000Z,40.801896,-73.969769,1018910066,1057247,103 St,1,0.181,4,1,43,28,8,3,0,0,0,0,4,2,https://streeteasy.com/building/320-west-106-street-new_york/2e
5087799,manhattan,South Harlem,276 West 119th Street,4/C,10026,2970,0,false,false,0,1,,RENTAL,ACTIVE,2026-07-02,2026-06-30T18:06:14.000Z,40.80598,-73.953514,1019247502,1086250,116 St,C|B,0.133,3,C|B|A|D|2|3,39,8,3,0,8,0,1930,0,42,0,https://streeteasy.com/building/276-west-119-street-new_york/4c
5082761,manhattan,Morningside Heights,515 West 122nd Street,66,10027,2850,0,false,false,0,1,,RENTAL,ACTIVE,2026-07-01,2026-06-24T19:43:47.000Z,40.811273,-73.959176,1019770021,1059671,125 St,1,0.271,5,1|A|C|B|D,135,3,3,0,12,0,2137,0,20,0,https://streeteasy.com/building/515-west-122-street-new_york/66
5082259,manhattan,Central Harlem,124 West 139th Street,5FL3,10030,2500,0,false,false,1,1,,RENTAL,ACTIVE,2026-06-24,2026-06-24T14:40:30.000Z,40.817116,-73.940637,1020070049,1060043,135 St,2|3,0.194,4,2|3|C|B,13,5,0,0,0,0,0,0,2,0,https://streeteasy.com/building/124-west-139-street-new_york/5fl3
5087564,manhattan,Washington Heights,596 Edgecombe Avenue,3A,10032,2950,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-01,2026-06-30T15:41:22.000Z,40.835554,-73.937765,1021100024,1062597,163 St-Amsterdam Av,C,0.099,2,C|B|D,782,25,10,0,43,3,43040,-230,33,6,https://streeteasy.com/building/596-edgecombe-avenue-new_york/3a
5087446,manhattan,Hudson Heights,225 Bennett Avenue,6P,10040,2649,0,false,false,1,1,,CO_OP,ACTIVE,2026-06-30,2026-07-01T13:28:38.000Z,40.857847,-73.932871,1021800522,1064468,190 St,A,0.073,1,A|1,242,66,20,5,87,5,127984,-13,52,10,https://streeteasy.com/building/225-bennett-avenue-new_york/6p
